Module,Event,Time,Day
PGDE Secondary Curriculum and Pedagogy,Tutorial,09:00,It's Friday Thennnnn
"The Transformation of the Roman World, ca. 300-800: Towards Byzantium and the Early Medieval West",Tutorial,09:00,It's Friday Thennnnn
Architectural Design: Elements,Tutorial,09:00,It's Friday Thennnnn
Landscape architecture design: Context and Grounding,Tutorial,09:00,It's Friday Thennnnn
Presentation: Methods & Context 3,Workshop,09:00,It's Friday Thennnnn
Population and Community Ecology 3,Lecture,09:00,It's Friday Thennnnn
Decision Analytics,Tutorial,09:00,It's Friday Thennnnn
Professional & Clinical Skills (1),Tutorial,09:00,It's Friday Thennnnn
Professional & Clinical Skills 2,Tutorial,09:00,It's Friday Thennnnn
Animal Life & Food Safety 1,Lecture,09:00,It's Friday Thennnnn
Clinical Foundation Course (Yr 3),Tutorial,09:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Tutorial,09:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Lecture,09:00,It's Friday Thennnnn
Introduction to Gaelic Language and Culture,Tutorial,09:00,It's Friday Thennnnn
"Celtic Civilisation 1A: Barbarians, Saints, and Scholars",Tutorial,09:00,It's Friday Thennnnn
Dissertation - MSc in Applied Psychology (Healthcare) for Children and Young People,Lecture,09:00,It's Friday Thennnnn
Interpersonal Psychotherapy (IPT) - Level A,Lecture,09:00,It's Friday Thennnnn
CBT with Complex Presentations,Workshop,09:00,It's Friday Thennnnn
Responsible Management of Digital Innovation,Tutorial,09:00,It's Friday Thennnnn
Fashion Design 3A: Fashion Innovation for Industry,Tutorial,09:00,It's Friday Thennnnn
Fashion 4C: Design Book - Professional Positioning for Industry,Tutorial,09:00,It's Friday Thennnnn
Physical Education Curriculum and Pedagogy 1: An Introduction to Physical Education,Practical,09:00,It's Friday Thennnnn
Professional Development Programme,Workshop,09:00,It's Friday Thennnnn
Russian Language 2A,Tutorial,09:00,It's Friday Thennnnn
Whole body health 1,Tutorial,09:00,It's Friday Thennnnn
Whole body health 1,Lecture,09:00,It's Friday Thennnnn
Whole Body Health 2,Tutorial,09:00,It's Friday Thennnnn
Whole Body Health 2,Practical,09:00,It's Friday Thennnnn
Year 4 - Process of Care 1,Tutorial,09:00,It's Friday Thennnnn
Year 4 - Process of Care 1,Workshop,09:00,It's Friday Thennnnn
Year 5 - Process of Care 2,Practical,09:00,It's Friday Thennnnn
Year 6 - Preparation for Practice,Practical,09:00,It's Friday Thennnnn
Pathophysiology and nursing care: Life Sciences and Nursing Care 3,Practical,09:00,It's Friday Thennnnn
Clinical Psychology 1,Tutorial,09:00,It's Friday Thennnnn
Clinical Psychology 2,Tutorial,09:00,It's Friday Thennnnn
Performance Costume 2A: Costume and Set Design for Performance,Workshop,09:00,It's Friday Thennnnn
Developing as a Strategic Educational Leader,Lecture,09:00,It's Friday Thennnnn
Neurodegeneration and Regeneration,Workshop,09:00,It's Friday Thennnnn
"Professionalism: Leading and managing in health and social care: Society, Culture and Health 4",Practical,09:00,It's Friday Thennnnn
Interior Design 3C: Externality,Lecture,09:00,It's Friday Thennnnn
Urbanism and the City: Past to Present,Tutorial,09:00,It's Friday Thennnnn
Biology 1A: Variation,Workshop,09:00,It's Friday Thennnnn
Biology 1A: Variation,Practical,09:00,It's Friday Thennnnn
Biology 2B: Genetics and Evolution,Lecture,09:00,It's Friday Thennnnn
Film and TV 1A: Introduction to Film-making,Workshop,09:00,It's Friday Thennnnn
Film and TV 2B: Visual Aesthetics in Cinema,Tutorial,09:00,It's Friday Thennnnn
Dance Pedagogy,Lecture,09:00,It's Friday Thennnnn
"History of Art 1A Art and Belief in Europe, 500 to 1700",Tutorial,09:00,It's Friday Thennnnn
Introduction to Partial Differential Equations,Workshop,09:00,It's Friday Thennnnn
Radiation Processes in Astrophysics,Lecture,09:00,It's Friday Thennnnn
Theories of International Relations,Lecture,09:00,It's Friday Thennnnn
Introduction to Cognitive Science,Tutorial,09:00,It's Friday Thennnnn
Social Theory,Lecture,09:00,It's Friday Thennnnn
Animal models and genomic modification for One Health Models of Disease,Lecture,09:00,It's Friday Thennnnn
Natural Hazards and Risk,Tutorial,09:00,It's Friday Thennnnn
Education Policy and the Politics of Education,Workshop,09:00,It's Friday Thennnnn
Contract and Unjustified Enrichment,Lecture,09:00,It's Friday Thennnnn
Criminal Law (Ordinary),Tutorial,09:00,It's Friday Thennnnn
Economic Principles,Tutorial,09:00,It's Friday Thennnnn
Computer Architecture and Design,Workshop,09:00,It's Friday Thennnnn
"Practical Research Methods for Anaesthesia, Critical Care and Pain Medicine",Lecture,09:00,It's Friday Thennnnn
Professional & Clinical Skills (3),Practical,09:00,It's Friday Thennnnn
Fundamental Methods in Geography,Tutorial,09:00,It's Friday Thennnnn
Medieval Worlds: A Journey through the Middle Ages,Tutorial,09:00,It's Friday Thennnnn
Public Law and Individual Rights,Lecture,09:00,It's Friday Thennnnn
Entrepreneurship in the Mathematical Sciences,Lecture,09:00,It's Friday Thennnnn
Evolutionary and Ecological Genetics 3,Tutorial,09:00,It's Friday Thennnnn
Economics & Innovation in the Biotechnology Industry,Lecture,09:00,It's Friday Thennnnn
Pluripotency and the Germline,Lecture,09:00,It's Friday Thennnnn
Fashion Design 2A: The Architects of the Body,Workshop,09:00,It's Friday Thennnnn
Russian Studies 1A,Workshop,09:00,It's Friday Thennnnn
Algorithms and Data Structures,Tutorial,09:00,It's Friday Thennnnn
Algorithms and Data Structures,Lecture,09:00,It's Friday Thennnnn
Classical Field Theory,Lecture,09:00,It's Friday Thennnnn
Symmetries of Particles and Fields,Lecture,09:00,It's Friday Thennnnn
Plant Science Research Project,Lecture,09:00,It's Friday Thennnnn
Introduction to Phonology and Phonetics,Lecture,09:00,It's Friday Thennnnn
Theory of Statistical Inference,Lecture,09:00,It's Friday Thennnnn
Theory of Statistical Inference,Workshop,09:00,It's Friday Thennnnn
Research Skills for Computational Applied Mathematics,Lecture,09:00,It's Friday Thennnnn
Landscape Architecture Design 2A,Tutorial,09:00,It's Friday Thennnnn
TPG Studio,Workshop,09:00,It's Friday Thennnnn
Molecular and Synthetic Plant Biology 3,Tutorial,09:00,It's Friday Thennnnn
Financial Statement Analysis,Lecture,09:00,It's Friday Thennnnn
Professional Development (MBA),Tutorial,09:00,It's Friday Thennnnn
Language Education for Intercultural Citizenship,Workshop,09:00,It's Friday Thennnnn
Clinical Biochemistry and Endocrinology 3,Lecture,09:00,It's Friday Thennnnn
Modern Physics,Workshop,09:00,It's Friday Thennnnn
Dissertation (Performance Psychology),Workshop,09:00,It's Friday Thennnnn
Sports Physiology 4,Practical,09:00,It's Friday Thennnnn
Marketing,Lecture,09:00,It's Friday Thennnnn
Performance Costume 1A: Introduction to Performance Costume,Workshop,09:00,It's Friday Thennnnn
The Philosophy of Education,Lecture,09:00,It's Friday Thennnnn
"What is Health?: Society, Culture and Health 1",Tutorial,09:00,It's Friday Thennnnn
Data Analysis for Psychology in R 3,Lecture,09:00,It's Friday Thennnnn
"Working with Risk, trust and Complexity (PG)",Lecture,09:00,It's Friday Thennnnn
"Fashion 4B: Garment Technology, Prototype & Manufacture",Lecture,09:00,It's Friday Thennnnn
"Fashion 4B: Garment Technology, Prototype & Manufacture",Workshop,09:00,It's Friday Thennnnn
Technology and Environment 2A: Building Environment,Tutorial,09:00,It's Friday Thennnnn
Carbon Accounting,Lecture,09:00,It's Friday Thennnnn
Greek 1A,Lecture,09:00,It's Friday Thennnnn
Data Analysis and Statistics for Business,Lecture,09:00,It's Friday Thennnnn
Animal Diversity and Evolution 3,Tutorial,09:00,It's Friday Thennnnn
Global Environmental Change- Foundations,Practical,09:00,It's Friday Thennnnn
Geophysical Measurement and Modelling,Tutorial,09:00,It's Friday Thennnnn
Invitation to Sociology,Tutorial,09:00,It's Friday Thennnnn
Pharmacology 3,Lecture,09:00,It's Friday Thennnnn
Science Communication,Lecture,09:00,It's Friday Thennnnn
Student Research Component (Foundation Skills),Lecture,09:00,It's Friday Thennnnn
Applied Environmental Geochemistry,Lecture,09:00,It's Friday Thennnnn
Experimental Economics,Tutorial,09:00,It's Friday Thennnnn
Applied Stochastic Differential Equations,Workshop,09:00,It's Friday Thennnnn
Neurodevelopmental Disorders,Lecture,09:00,It's Friday Thennnnn
Quantitating drug binding,Practical,09:00,It's Friday Thennnnn
Global Justice and Citizenship,Tutorial,09:00,It's Friday Thennnnn
Global Justice and Citizenship,Lecture,09:00,It's Friday Thennnnn
Evidence and Enquiry: Research,Tutorial,09:00,It's Friday Thennnnn
Italian Language 2,Workshop,09:00,It's Friday Thennnnn
History and Theory of Conservation,Tutorial,09:00,It's Friday Thennnnn
Art Practice 4,Tutorial,09:00,It's Friday Thennnnn
Biology of Animal Welfare,Practical,09:00,It's Friday Thennnnn
Conceptual and Theoretical Psychology,Lecture,09:00,It's Friday Thennnnn
Digital Innovation Management,Lecture,09:00,It's Friday Thennnnn
Professional Practice,Workshop,09:00,It's Friday Thennnnn
Outdoor and Environmental Education Praxis,Workshop,09:00,It's Friday Thennnnn
Software Testing,Lecture,09:00,It's Friday Thennnnn
British Government,Lecture,09:00,It's Friday Thennnnn
Understanding School Leadership and Culture,Practical,09:00,It's Friday Thennnnn
Researching with Media,Lecture,09:00,It's Friday Thennnnn
Researching with Media,Workshop,09:00,It's Friday Thennnnn
Foundations in Global Security,Lecture,09:00,It's Friday Thennnnn
Experimental Immunology,Workshop,09:00,It's Friday Thennnnn
Research Methods in Macroeconomics,Tutorial,09:00,It's Friday Thennnnn
Spanish 4Hons - Language Paper 2 - Translation,Tutorial,09:00,It's Friday Thennnnn
Principles of Environmental Sustainability,Lecture,09:00,It's Friday Thennnnn
Applying Sport Science 3,Practical,09:00,It's Friday Thennnnn
Animation 1A Introduction,Tutorial,09:00,It's Friday Thennnnn
Becoming a Critically Reflective Practitioner,Lecture,09:00,It's Friday Thennnnn
Building Simulation Principles,Workshop,09:00,It's Friday Thennnnn
Towards A Decolonised Approach to Psychology & Language,Tutorial,09:00,It's Friday Thennnnn
Applied Animal Behaviour & Welfare Dissertation,Lecture,09:00,It's Friday Thennnnn
Quantitative Data Analysis with SPSS,Workshop,09:00,It's Friday Thennnnn
PGDE Secondary Curriculum and Pedagogy,Workshop,10:00,It's Friday Thennnnn
Accounting for Business 1,Lecture,10:00,It's Friday Thennnnn
"The Transformation of the Roman World, ca. 300-800: Towards Byzantium and the Early Medieval West",Tutorial,10:00,It's Friday Thennnnn
Architectural Design: Elements,Tutorial,10:00,It's Friday Thennnnn
Architectural Design: Elements,Workshop,10:00,It's Friday Thennnnn
Presentation: Methods & Context 3,Workshop,10:00,It's Friday Thennnnn
Organisational Behaviour 2,Lecture,10:00,It's Friday Thennnnn
Decision Analytics,Tutorial,10:00,It's Friday Thennnnn
The Animal Body (1),Tutorial,10:00,It's Friday Thennnnn
Professional & Clinical Skills 2,Tutorial,10:00,It's Friday Thennnnn
Animal Life & Food Safety 1,Lecture,10:00,It's Friday Thennnnn
The Animal Body 2 (GEP),Lecture,10:00,It's Friday Thennnnn
The Animal Body 2 (GEP),Practical,10:00,It's Friday Thennnnn
Clinical Foundation Course (Yr 3),Tutorial,10:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Tutorial,10:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Lecture,10:00,It's Friday Thennnnn
Introduction to Gaelic Language and Culture,Tutorial,10:00,It's Friday Thennnnn
"Celtic Civilisation 1A: Barbarians, Saints, and Scholars",Tutorial,10:00,It's Friday Thennnnn
Dissertation - MSc in Applied Psychology (Healthcare) for Children and Young People,Lecture,10:00,It's Friday Thennnnn
Interpersonal Psychotherapy (IPT) - Level A,Lecture,10:00,It's Friday Thennnnn
CBT with Complex Presentations,Workshop,10:00,It's Friday Thennnnn
Fashion Design 3A: Fashion Innovation for Industry,Tutorial,10:00,It's Friday Thennnnn
Fashion 4C: Design Book - Professional Positioning for Industry,Tutorial,10:00,It's Friday Thennnnn
Applied Labour Economics,Lecture,10:00,It's Friday Thennnnn
Physical Education Curriculum and Pedagogy 1: An Introduction to Physical Education,Practical,10:00,It's Friday Thennnnn
Physical Education and Curriculum and Pedagogy 4: Aims and Concepts,Workshop,10:00,It's Friday Thennnnn
Professional Development Programme,Workshop,10:00,It's Friday Thennnnn
Property Law (Ordinary),Lecture,10:00,It's Friday Thennnnn
Whole body health 1,Tutorial,10:00,It's Friday Thennnnn
Whole body health 1,Lecture,10:00,It's Friday Thennnnn
Whole Body Health 2,Tutorial,10:00,It's Friday Thennnnn
Whole Body Health 2,Practical,10:00,It's Friday Thennnnn
Year 4 - Process of Care 1,Tutorial,10:00,It's Friday Thennnnn
Year 4 - Process of Care 1,Workshop,10:00,It's Friday Thennnnn
Year 5 - Process of Care 2,Practical,10:00,It's Friday Thennnnn
Year 6 - Preparation for Practice,Practical,10:00,It's Friday Thennnnn
Pathophysiology and nursing care: Life Sciences and Nursing Care 3,Practical,10:00,It's Friday Thennnnn
Life Sciences and Nursing Care,Practical,10:00,It's Friday Thennnnn
Comparative Politics in a Globalized World,Tutorial,10:00,It's Friday Thennnnn
Politics and International Relations 1A: Concepts and Debates,Tutorial,10:00,It's Friday Thennnnn
Clinical Psychology 1,Tutorial,10:00,It's Friday Thennnnn
Clinical Psychology 2,Tutorial,10:00,It's Friday Thennnnn
Performance Costume 2A: Costume and Set Design for Performance,Workshop,10:00,It's Friday Thennnnn
"Professionalism: Leading and managing in health and social care: Society, Culture and Health 4",Practical,10:00,It's Friday Thennnnn
Interior Design 3C: Externality,Lecture,10:00,It's Friday Thennnnn
Presentation: Methods & Context 4,Lecture,10:00,It's Friday Thennnnn
Biology 1A: Variation,Lecture,10:00,It's Friday Thennnnn
Biology 1A: Variation,Workshop,10:00,It's Friday Thennnnn
Biology 2B: Genetics and Evolution,Lecture,10:00,It's Friday Thennnnn
Marketing & Climate Change,Lecture,10:00,It's Friday Thennnnn
Film and TV 1A: Introduction to Film-making,Workshop,10:00,It's Friday Thennnnn
"Mathematics, Statistics and Econometrics",Tutorial,10:00,It's Friday Thennnnn
Physical Education Curriculum and Pedagogy 2: The Early Secondary Years,Practical,10:00,It's Friday Thennnnn
Dance Pedagogy,Lecture,10:00,It's Friday Thennnnn
TESOL Methodology,Workshop,10:00,It's Friday Thennnnn
Ethics and Politics of Data,Tutorial,10:00,It's Friday Thennnnn
Theories of International Relations,Lecture,10:00,It's Friday Thennnnn
Introduction to Cognitive Science,Workshop,10:00,It's Friday Thennnnn
Social Theory,Lecture,10:00,It's Friday Thennnnn
Animal models and genomic modification for One Health Models of Disease,Lecture,10:00,It's Friday Thennnnn
Japanese 4 Oral,Tutorial,10:00,It's Friday Thennnnn
Digital Marketing,Workshop,10:00,It's Friday Thennnnn
Education Policy and the Politics of Education,Workshop,10:00,It's Friday Thennnnn
Criminal Law (Ordinary),Tutorial,10:00,It's Friday Thennnnn
Economic Principles,Tutorial,10:00,It's Friday Thennnnn
Fundamental Methods in Geography,Tutorial,10:00,It's Friday Thennnnn
Public Law and Individual Rights,Tutorial,10:00,It's Friday Thennnnn
Sport Science 1A: Physiology & Skill Acquisition,Lecture,10:00,It's Friday Thennnnn
Evolutionary and Ecological Genetics 3,Lecture,10:00,It's Friday Thennnnn
Physiology 3,Lecture,10:00,It's Friday Thennnnn
Russian Studies 1A,Workshop,10:00,It's Friday Thennnnn
Algorithms and Data Structures,Lecture,10:00,It's Friday Thennnnn
Symmetries of Particles and Fields,Lecture,10:00,It's Friday Thennnnn
The Functional Organisation of Visual Cortex - A Cognitive Neuroscience Approach,Tutorial,10:00,It's Friday Thennnnn
Introduction to Phonology and Phonetics,Lecture,10:00,It's Friday Thennnnn
Theory of Statistical Inference,Lecture,10:00,It's Friday Thennnnn
Research Skills for Computational Applied Mathematics,Lecture,10:00,It's Friday Thennnnn
Financial Statement Analysis and Valuation,Lecture,10:00,It's Friday Thennnnn
Landscape Architecture Design 2A,Tutorial,10:00,It's Friday Thennnnn
Molecular and Synthetic Plant Biology 3,Lecture,10:00,It's Friday Thennnnn
Coastal Engineering 5,Lecture,10:00,It's Friday Thennnnn
Data Science in Economics,Lecture,10:00,It's Friday Thennnnn
Clinical Biochemistry and Endocrinology 3,Tutorial,10:00,It's Friday Thennnnn
Data Analysis and Machine Learning,Workshop,10:00,It's Friday Thennnnn
Modern Physics,Workshop,10:00,It's Friday Thennnnn
Neural circuits for learning and memory,Tutorial,10:00,It's Friday Thennnnn
Professional Practice Placement 2,Lecture,10:00,It's Friday Thennnnn
Physical Education and Curriculum Pedagogy 3: National Awards,Lecture,10:00,It's Friday Thennnnn
Portfolio of Written Translation Exercises in Chinese 1,Tutorial,10:00,It's Friday Thennnnn
Company and Commercial,Workshop,10:00,It's Friday Thennnnn
Education and Social Justice,Workshop,10:00,It's Friday Thennnnn
Data Analysis for Psychology in R 3,Lecture,10:00,It's Friday Thennnnn
"Gender, Sexualities and Health",Tutorial,10:00,It's Friday Thennnnn
"Fashion 4B: Garment Technology, Prototype & Manufacture",Workshop,10:00,It's Friday Thennnnn
Technology and Environment 2A: Building Environment,Tutorial,10:00,It's Friday Thennnnn
Carbon Accounting,Lecture,10:00,It's Friday Thennnnn
Greek 1A,Lecture,10:00,It's Friday Thennnnn
"Introduction to Community Arts Practice: Modes, Methods and Meanings",Tutorial,10:00,It's Friday Thennnnn
Lasers and Applications,Lecture,10:00,It's Friday Thennnnn
Practical Software Development,Practical,10:00,It's Friday Thennnnn
"Literature Evaluation and Review for the Anaesthesia, Critical Care, and Pain Medicine Project",Lecture,10:00,It's Friday Thennnnn
Animal Diversity and Evolution 3,Tutorial,10:00,It's Friday Thennnnn
Global Environmental Change- Foundations,Practical,10:00,It's Friday Thennnnn
Invitation to Sociology,Tutorial,10:00,It's Friday Thennnnn
Pharmacology 3,Lecture,10:00,It's Friday Thennnnn
Science Communication,Lecture,10:00,It's Friday Thennnnn
Reproductive Toxicology,Lecture,10:00,It's Friday Thennnnn
Experimental Economics,Tutorial,10:00,It's Friday Thennnnn
Introduction to Mobile Robotics,Lecture,10:00,It's Friday Thennnnn
"Sport and Recreation: Performance Indicators, Measurement and Management 4B",Practical,10:00,It's Friday Thennnnn
Italian Language 2,Workshop,10:00,It's Friday Thennnnn
History and Theory of Conservation,Tutorial,10:00,It's Friday Thennnnn
Art Practice 4,Tutorial,10:00,It's Friday Thennnnn
Biology of Animal Welfare,Lecture,10:00,It's Friday Thennnnn
Modelling the Financial Crisis and its Aftermath,Lecture,10:00,It's Friday Thennnnn
Language and Intercultural Communication Pedagogy,Workshop,10:00,It's Friday Thennnnn
Outdoor and Environmental Education Praxis,Workshop,10:00,It's Friday Thennnnn
Researching with Media,Workshop,10:00,It's Friday Thennnnn
Foundations in Global Security,Lecture,10:00,It's Friday Thennnnn
Global Englishes,Lecture,10:00,It's Friday Thennnnn
Motor Control 4,Lecture,10:00,It's Friday Thennnnn
Novel Approaches,Lecture,10:00,It's Friday Thennnnn
Experimental Immunology,Workshop,10:00,It's Friday Thennnnn
Performance Costume: Drawing for Character,Workshop,10:00,It's Friday Thennnnn
Spanish 4Hons - Language Paper 2 - Translation,Tutorial,10:00,It's Friday Thennnnn
Principles of Environmental Sustainability,Lecture,10:00,It's Friday Thennnnn
Accounting (MBA),Tutorial,10:00,It's Friday Thennnnn
Animation 1A Introduction,Tutorial,10:00,It's Friday Thennnnn
Becoming a Critically Reflective Practitioner,Lecture,10:00,It's Friday Thennnnn
Prescriptive Analytics with Mathematical Programming,Lecture,10:00,It's Friday Thennnnn
Introduction to Business Analytics,Lecture,10:00,It's Friday Thennnnn
Planning & Instruction for Performance,Practical,10:00,It's Friday Thennnnn
Criminal Court Practice,Workshop,10:00,It's Friday Thennnnn
Biomedical Sciences 3,Tutorial,10:00,It's Friday Thennnnn
PGDE Secondary Curriculum and Pedagogy,Workshop,11:00,It's Friday Thennnnn
"The Transformation of the Roman World, ca. 300-800: Towards Byzantium and the Early Medieval West",Tutorial,11:00,It's Friday Thennnnn
Population and Community Ecology 3,Lecture,11:00,It's Friday Thennnnn
Organisational Behaviour 2,Lecture,11:00,It's Friday Thennnnn
Psychological Well-being and Business,Tutorial,11:00,It's Friday Thennnnn
Decision Analytics,Tutorial,11:00,It's Friday Thennnnn
Professional & Clinical Skills (1),Tutorial,11:00,It's Friday Thennnnn
Professional & Clinical Skills (1),Lecture,11:00,It's Friday Thennnnn
Professional & Clinical Skills 2,Tutorial,11:00,It's Friday Thennnnn
The Animal Body 2 (GEP),Tutorial,11:00,It's Friday Thennnnn
Clinical Foundation Course (Yr 3),Practical,11:00,It's Friday Thennnnn
Integrated Clinical Course: Farm Animal,Tutorial,11:00,It's Friday Thennnnn
Professional & Clinical Skills 4,Lecture,11:00,It's Friday Thennnnn
"Celtic Civilisation 1A: Barbarians, Saints, and Scholars",Tutorial,11:00,It's Friday Thennnnn
Dissertation - MSc in Applied Psychology (Healthcare) for Children and Young People,Lecture,11:00,It's Friday Thennnnn
Interpersonal Psychotherapy (IPT) - Level A,Lecture,11:00,It's Friday Thennnnn
CBT with Complex Presentations,Workshop,11:00,It's Friday Thennnnn
Fashion Design 3A: Fashion Innovation for Industry,Tutorial,11:00,It's Friday Thennnnn
Fashion 4C: Design Book - Professional Positioning for Industry,Tutorial,11:00,It's Friday Thennnnn
Macroeconomics 1,Lecture,11:00,It's Friday Thennnnn
Research Methods in Microeconomics,Lecture,11:00,It's Friday Thennnnn
Physical Education Curriculum and Pedagogy 1: An Introduction to Physical Education,Practical,11:00,It's Friday Thennnnn
Professional Development Programme,Workshop,11:00,It's Friday Thennnnn
Property Law (Ordinary),Lecture,11:00,It's Friday Thennnnn
Whole body health 1,Tutorial,11:00,It's Friday Thennnnn
Whole body health 1,Lecture,11:00,It's Friday Thennnnn
Whole Body Health 2,Tutorial,11:00,It's Friday Thennnnn
Whole Body Health 2,Practical,11:00,It's Friday Thennnnn
Year 4 - Process of Care 1,Workshop,11:00,It's Friday Thennnnn
Year 5 - Process of Care 2,Practical,11:00,It's Friday Thennnnn
Mental Health: Life Sciences and Nursing Care 2,Practical,11:00,It's Friday Thennnnn
Pathophysiology and nursing care: Life Sciences and Nursing Care 3,Practical,11:00,It's Friday Thennnnn
Research Skills in the Social Sciences: Data Collection,Workshop,11:00,It's Friday Thennnnn
Morality and Value,Tutorial,11:00,It's Friday Thennnnn
Politics in a Changing World: An Introduction for non-specialists,Tutorial,11:00,It's Friday Thennnnn
Politics and International Relations 1A: Concepts and Debates,Tutorial,11:00,It's Friday Thennnnn
Introduction to Social Anthropology,Tutorial,11:00,It's Friday Thennnnn
Clinical Psychology 1,Tutorial,11:00,It's Friday Thennnnn
Clinical Psychology 2,Tutorial,11:00,It's Friday Thennnnn
Performance Costume 2A: Costume and Set Design for Performance,Workshop,11:00,It's Friday Thennnnn
Illustration 4B: Research,Workshop,11:00,It's Friday Thennnnn
Interior Design 3C: Externality,Lecture,11:00,It's Friday Thennnnn
Laboratory Techniques 1 Chemistry PGT,Workshop,11:00,It's Friday Thennnnn
Film and TV 2B: Visual Aesthetics in Cinema,Lecture,11:00,It's Friday Thennnnn
"Mathematics, Statistics and Econometrics",Tutorial,11:00,It's Friday Thennnnn
Physical Education Curriculum and Pedagogy 2: The Early Secondary Years,Practical,11:00,It's Friday Thennnnn
Dance Pedagogy,Lecture,11:00,It's Friday Thennnnn
TESOL Methodology,Workshop,11:00,It's Friday Thennnnn
Ethics and Politics of Data,Tutorial,11:00,It's Friday Thennnnn
Particle Physics,Lecture,11:00,It's Friday Thennnnn
Theories of International Relations,Tutorial,11:00,It's Friday Thennnnn
Research Design in Politics and International Relations,Lecture,11:00,It's Friday Thennnnn
Introduction to Cognitive Science,Workshop,11:00,It's Friday Thennnnn
Big Data and Psychological Science,Tutorial,11:00,It's Friday Thennnnn
Animal models and genomic modification for One Health Models of Disease,Lecture,11:00,It's Friday Thennnnn
Education Policy and the Politics of Education,Workshop,11:00,It's Friday Thennnnn
Criminal Law (Ordinary),Tutorial,11:00,It's Friday Thennnnn
Geometry and Physics of Soft Condensed Matter,Workshop,11:00,It's Friday Thennnnn
Contemporary Issues in International Relations,Tutorial,11:00,It's Friday Thennnnn
Contemporary Issues in International Relations,Lecture,11:00,It's Friday Thennnnn
Economic Principles,Tutorial,11:00,It's Friday Thennnnn
Fundamental Methods in Geography,Tutorial,11:00,It's Friday Thennnnn
Medieval Worlds: A Journey through the Middle Ages,Tutorial,11:00,It's Friday Thennnnn
Public Law and Individual Rights,Tutorial,11:00,It's Friday Thennnnn
Essentials in Analysis and Probability,Workshop,11:00,It's Friday Thennnnn
Sport Science 2C: Information Skills & Biomechanics,Practical,11:00,It's Friday Thennnnn
Biology 2A: Data Exploration in Biology,Lecture,11:00,It's Friday Thennnnn
Evolutionary and Ecological Genetics 3,Tutorial,11:00,It's Friday Thennnnn
Biomedical Sciences 1,Practical,11:00,It's Friday Thennnnn
Physiology 3,Lecture,11:00,It's Friday Thennnnn
Emergency Medicine,Workshop,11:00,It's Friday Thennnnn
Tissue and Cancer Stem Cells,Lecture,11:00,It's Friday Thennnnn
Russian Studies 1A,Workshop,11:00,It's Friday Thennnnn
Cells to Organisms 2,Lecture,11:00,It's Friday Thennnnn
Financial Statement Analysis and Valuation,Lecture,11:00,It's Friday Thennnnn
Architectural Design: Explorations,Lecture,11:00,It's Friday Thennnnn
Landscape architecture techniques: Material Knowledge and Detailed Design,Lecture,11:00,It's Friday Thennnnn
Molecular and Synthetic Plant Biology 3,Practical,11:00,It's Friday Thennnnn
Gametes and Gonads,Tutorial,11:00,It's Friday Thennnnn
Data Science in Economics,Lecture,11:00,It's Friday Thennnnn
Additive and Computer Aided Manufacturing (MSc),Lecture,11:00,It's Friday Thennnnn
Modern Physics,Workshop,11:00,It's Friday Thennnnn
Engineering Principles and Design 2,Workshop,11:00,It's Friday Thennnnn
Sports Physiology 4,Practical,11:00,It's Friday Thennnnn
Neural circuits for learning and memory,Tutorial,11:00,It's Friday Thennnnn
Biology 1B: Life,Workshop,11:00,It's Friday Thennnnn
Biology 1B: Life,Practical,11:00,It's Friday Thennnnn
"What is Health?: Society, Culture and Health 1",Tutorial,11:00,It's Friday Thennnnn
"Fashion 4B: Garment Technology, Prototype & Manufacture",Workshop,11:00,It's Friday Thennnnn
"Critical Approaches to Landscapes, Power and Society",Tutorial,11:00,It's Friday Thennnnn
Greek 1A,Tutorial,11:00,It's Friday Thennnnn
Marketing Research & Data Insights,Workshop,11:00,It's Friday Thennnnn
"Designing Research in Nursing, Health and Social Care",Lecture,11:00,It's Friday Thennnnn
Global Environmental Change- Foundations,Practical,11:00,It's Friday Thennnnn
Invitation to Sociology,Tutorial,11:00,It's Friday Thennnnn
Pharmacology 3,Lecture,11:00,It's Friday Thennnnn
Science Communication,Lecture,11:00,It's Friday Thennnnn
"Sport and Recreation: Performance Indicators, Measurement and Management 4B",Practical,11:00,It's Friday Thennnnn
History and Theory of Conservation,Tutorial,11:00,It's Friday Thennnnn
Art Practice 4,Tutorial,11:00,It's Friday Thennnnn
Animal Cognition and Consciousness,Practical,11:00,It's Friday Thennnnn
Biology of Animal Welfare,Lecture,11:00,It's Friday Thennnnn
Understanding Economies (MBA),Tutorial,11:00,It's Friday Thennnnn
Professional Practice,Workshop,11:00,It's Friday Thennnnn
Language and Intercultural Communication Pedagogy,Workshop,11:00,It's Friday Thennnnn
Place-Based Education and Outdoor Learning in the City.,Workshop,11:00,It's Friday Thennnnn
Investigating Science in Society,Tutorial,11:00,It's Friday Thennnnn
Sustainable Design Methodologies,Tutorial,11:00,It's Friday Thennnnn
Researching with Media,Workshop,11:00,It's Friday Thennnnn
Global Englishes,Lecture,11:00,It's Friday Thennnnn
Experimental Immunology,Workshop,11:00,It's Friday Thennnnn
