Rule,CourseID,Num_Violations
6hrs per day,PTMBABUSAD7F_YR1_2024/5,20.0
Clash,PTMCOCOUIP1F_YR1_2024/5,1.0
Clash,PTMCOCOUIP1F_YR2_2024/5,1.0
Clash,PTMCOCOUNS1P_YR2_2024/5,1.0
Clash,PTMCOCOUNS1P_YR3_2024/5,1.0
Clash,PTMCOCOUNS1P_YR4_2024/5,1.0
Clash,PTMEDLEALE1U_YR1_2024/5,2.0
Clash,PTMLALANDS1F_YR1_2024/5,3.0
6hrs per day,PTMLALANDS1F_YR1_2024/5,8.0
Clash,PTMNNURPRA1F_YR1_2024/5,3.0
6hrs per day,PTMNNURPRA1F_YR1_2024/5,6.0
Clash,PTMNNURPRA1F_YR2_2024/5,2.0
6hrs per day,PTMNNURPRA1F_YR2_2024/5,8.0
Clash,PTMPHEALTH1F_YR1_2024/5,3.0
Clash,PTMPHEALTH1P_YR1_2024/5,3.0
Clash,PTMPHEALTH1P_YR2_2024/5,3.0
Clash,PTMSCAABAW1F_YR1_2024/5,4.0
6hrs per day,PTMSCAABAW1F_YR1_2024/5,20.0
Clash,PTMSCAABAW1P_YR1_2024/5,2.0
6hrs per day,PTMSCAABAW1P_YR1_2024/5,7.0
Clash,PTMSCAABAW1P_YR2_2024/5,2.0
Clash,PTMSCAABAW1P_YR3_2024/5,1.0
Clash,PTMSCAABAW2P_YR1_2024/5,2.0
6hrs per day,PTMSCAABAW2P_YR1_2024/5,7.0
Clash,PTMSCAABAW2P_YR2_2024/5,2.0
Clash,PTMSCACFIN1F_YR1_2024/5,1.0
Clash,PTMSCACLDE1F_YR1_2024/5,2.0
Clash,PTMSCADNCR1F_YR1_2024/5,3.0
Clash,PTMSCADNED1F_YR1_2024/5,3.0
Clash,PTMSCADNLE1F_YR1_2024/5,2.0
Clash,PTMSCADNOL1U_YR1_2024/5,1.0
Clash,PTMSCADPOE1F_YR1_2024/5,1.0
6hrs per day,PTMSCADTFC1F_YR1_2024/5,3.0
Clash,PTMSCADTFC1F_YR1_2024/5,4.0
Clash,PTMSCADVCE1F_YR1_2024/5,1.0
Clash,PTMSCADVNU1F_YR1_2024/5,2.0
Clash,PTMSCADVNU4P_YR1_2024/5,1.0
Clash,PTMSCADVNU4P_YR2_2024/5,1.0
Clash,PTMSCAFRID1F_YR1_2024/5,2.0
Clash,PTMSCAFRID1P_YR1_2024/5,2.0
Clash,PTMSCAFRID1P_YR2_2024/5,2.0
Clash,PTMSCAINTL1F_YR1_2024/5,8.0
6hrs per day,PTMSCAINTL1F_YR1_2024/5,49.0
Clash,PTMSCAINTL2P_YR1_2024/5,8.0
6hrs per day,PTMSCAINTL2P_YR1_2024/5,49.0
Clash,PTMSCAINTL2P_YR2_2024/5,7.0
6hrs per day,PTMSCAINTL2P_YR2_2024/5,34.0
Clash,PTMSCAMHIS1F_YR1_2024/5,1.0
Clash,PTMSCAMHIS1P_YR1_2024/5,1.0
Clash,PTMSCAMHIS1P_YR2_2024/5,1.0
Clash,PTMSCANBGE1F_YR1_2024/5,4.0
Clash,PTMSCANBGE1P_YR1_2024/5,4.0
Clash,PTMSCANBGE1P_YR2_2024/5,1.0
6hrs per day,PTMSCANCHE1F_YR1_2024/5,2.0
Clash,PTMSCANCHE1F_YR1_2024/5,2.0
Clash,PTMSCAPENH1F_YR1_2024/5,4.0
6hrs per day,PTMSCAPENH1F_YR1_2024/5,9.0
Clash,PTMSCAPENH2F_YR1_2024/5,4.0
6hrs per day,PTMSCAPENH2F_YR1_2024/5,6.0
Clash,PTMSCAPENH2F_YR2_2024/5,1.0
Clash,PTMSCAPLIN1F_YR1_2024/5,4.0
Clash,PTMSCAPYHC1F_YR1_2024/5,1.0
Friday Afternoon,PTMSCAPYHC1F_YR1_2024/5,3.0
6hrs per day,PTMSCAPYHC1F_YR1_2024/5,10.0
Clash,PTMSCARCHA1F_YR1_2024/5,1.0
Clash,PTMSCARCHA1P_YR1_2024/5,1.0
Clash,PTMSCARCHA1P_YR2_2024/5,1.0
Clash,PTMSCARCON1F_YR1_2024/5,3.0
Clash,PTMSCASDEC1F_YR1_2024/5,3.0
Clash,PTMSCASTPS1F_YR1_2024/5,3.0
6hrs per day,PTMSCASTPS1F_YR1_2024/5,8.0
Clash,PTMSCBINRA1F_YR1_2024/5,1.0
Clash,PTMSCBIOCH1F_YR1_2024/5,3.0
Clash,PTMSCBIOIN1F_YR1_2024/5,2.0
Clash,PTMSCBIOTE1F_YR1_2024/5,5.0
6hrs per day,PTMSCBIOTE1F_YR1_2024/5,8.0
Clash,PTMSCBUSAN1F_YR1_2024/5,2.0
Clash,PTMSCCARMA2F_YR1_2024/5,5.0
6hrs per day,PTMSCCARMA2F_YR1_2024/5,10.0
Clash,PTMSCCARMA2P_YR1_2024/5,2.0
Clash,PTMSCCARMA2P_YR2_2024/5,1.0
Clash,PTMSCCARMA3P_YR1_2024/5,2.0
Clash,PTMSCCARMA3P_YR2_2024/5,1.0
Clash,PTMSCCEIDE1F_YR1_2024/5,3.0
Clash,PTMSCCEIDE1P_YR1_2024/5,3.0
Clash,PTMSCCEIDE1P_YR2_2024/5,3.0
Clash,PTMSCCLCFI1F_YR1_2024/5,1.0
Clash,PTMSCCMPSI1F_YR1_2024/5,7.0
6hrs per day,PTMSCCMPSI1F_YR1_2024/5,49.0
Clash,PTMSCCOGSC1F_YR1_2024/5,7.0
6hrs per day,PTMSCCOGSC1F_YR1_2024/5,34.0
Clash,PTMSCCOGSC1P_YR1_2024/5,7.0
6hrs per day,PTMSCCOGSC1P_YR1_2024/5,34.0
Clash,PTMSCCOGSC1P_YR2_2024/5,7.0
6hrs per day,PTMSCCOGSC1P_YR2_2024/5,31.0
Clash,PTMSCCOHIS1F_YR1_2024/5,1.0
Clash,PTMSCCOHIS1P_YR1_2024/5,1.0
Clash,PTMSCCOHIS1P_YR2_2024/5,1.0
Clash,PTMSCCOMAF1F_YR1_2024/5,3.0
Clash,PTMSCCOMAF1P_YR1_2024/5,3.0
Clash,PTMSCCOMAF1P_YR2_2024/5,2.0
Clash,PTMSCCOMAM1F_YR1_2024/5,5.0
6hrs per day,PTMSCCOMAM1F_YR1_2024/5,16.0
Clash,PTMSCCOMPL1F_YR1_2024/5,2.0
Clash,PTMSCCOMPL1P_YR1_2024/5,1.0
Clash,PTMSCCOMPL1P_YR2_2024/5,2.0
Clash,PTMSCCOMPP1F_YR1_2024/5,4.0
6hrs per day,PTMSCCOMPP1F_YR1_2024/5,23.0
Clash,PTMSCCOMPP1P_YR1_2024/5,4.0
6hrs per day,PTMSCCOMPP1P_YR1_2024/5,23.0
Clash,PTMSCCOMPP1P_YR2_2024/5,4.0
6hrs per day,PTMSCCOMPP1P_YR2_2024/5,22.0
Clash,PTMSCCOMSC1P_YR1_2024/5,7.0
6hrs per day,PTMSCCOMSC1P_YR1_2024/5,49.0
Clash,PTMSCCOMSC1P_YR2_2024/5,7.0
6hrs per day,PTMSCCOMSC1P_YR2_2024/5,34.0
Clash,PTMSCCOUST1F_YR1_2024/5,2.0
Clash,PTMSCCOUST1P_YR1_2024/5,2.0
Clash,PTMSCCOUST1P_YR2_2024/5,2.0
Clash,PTMSCCOUST3P_YR2_2024/5,2.0
Clash,PTMSCCRIMJ3F_YR1_2024/5,2.0
Clash,PTMSCCRIND1F_YR1_2024/5,1.0
Clash,PTMSCCRWRI1F_YR1_2024/5,1.0
Clash,PTMSCCSEAD1F_YR1_2024/5,2.0
Clash,PTMSCCSEAD1P_YR1_2024/5,2.0
Clash,PTMSCCSPTR1F_YR1_2024/5,4.0
6hrs per day,PTMSCCSPTR1F_YR1_2024/5,6.0
Clash,PTMSCCSPTR1P_YR1_2024/5,4.0
6hrs per day,PTMSCCSPTR1P_YR1_2024/5,8.0
Clash,PTMSCCSPTR1P_YR2_2024/5,4.0
6hrs per day,PTMSCCSPTR1P_YR2_2024/5,8.0
Clash,PTMSCCSPTR2P_YR1_2024/5,4.0
6hrs per day,PTMSCCSPTR2P_YR1_2024/5,8.0
Clash,PTMSCCSPTR2P_YR2_2024/5,4.0
6hrs per day,PTMSCCSPTR2P_YR2_2024/5,8.0
Clash,PTMSCCSPTR3P_YR1_2024/5,4.0
6hrs per day,PTMSCCSPTR3P_YR1_2024/5,8.0
Clash,PTMSCCSPTR3P_YR2_2024/5,4.0
6hrs per day,PTMSCCSPTR3P_YR2_2024/5,8.0
Clash,PTMSCDAADA1P_YR1_2024/5,2.0
Clash,PTMSCDAADA1P_YR2_2024/5,1.0
Clash,PTMSCDANSE1F_YR1_2024/5,3.0
Clash,PTMSCDANSE1U_YR1_2024/5,3.0
Clash,PTMSCDANSE2F_YR1_2024/5,3.0
Clash,PTMSCDANSE2P_YR1_2024/5,3.0
Clash,PTMSCDANSE2P_YR2_2024/5,3.0
Clash,PTMSCDANSE3P_YR1_2024/5,3.0
Clash,PTMSCDATSC1F_YR1_2024/5,8.0
6hrs per day,PTMSCDATSC1F_YR1_2024/5,48.0
Clash,PTMSCDATSC1P_YR1_2024/5,8.0
6hrs per day,PTMSCDATSC1P_YR1_2024/5,48.0
Clash,PTMSCDATSC1P_YR2_2024/5,7.0
6hrs per day,PTMSCDATSC1P_YR2_2024/5,36.0
Clash,PTMSCDATSC2P_YR1_2024/5,8.0
6hrs per day,PTMSCDATSC2P_YR1_2024/5,48.0
Clash,PTMSCDATSC2P_YR2_2024/5,7.0
6hrs per day,PTMSCDATSC2P_YR2_2024/5,36.0
Clash,PTMSCDDITB1F_YR1_2024/5,4.0
Clash,PTMSCDDMAN1F_YR1_2024/5,2.0
Clash,PTMSCDESDM1F_YR1_2024/5,2.0
Clash,PTMSCDESDM1P_YR1_2024/5,2.0
Clash,PTMSCDESDM1P_YR2_2024/5,2.0
6hrs per day,PTMSCDESIN1F_YR1_2024/5,1.0
Clash,PTMSCDESIN1F_YR1_2024/5,3.0
Clash,PTMSCDEVLN1F_YR1_2024/5,2.0
Clash,PTMSCDEVSC1F_YR1_2024/5,1.0
Clash,PTMSCDIGSO2F_YR1_2024/5,3.0
6hrs per day,PTMSCDIGSO2F_YR1_2024/5,5.0
Clash,PTMSCDIGSO2P_YR1_2024/5,3.0
6hrs per day,PTMSCDIGSO2P_YR1_2024/5,5.0
Clash,PTMSCDIGSO2P_YR2_2024/5,2.0
Clash,PTMSCDIMED1F_YR1_2024/5,2.0
Clash,PTMSCDIMED1U_YR1_2024/5,2.0
Clash,PTMSCDIMED1U_YR2_2024/5,2.0
Clash,PTMSCDIMED1U_YR3_2024/5,2.0
Clash,PTMSCDIMED1U_YR4_2024/5,2.0
Clash,PTMSCDIMED1U_YR5_2024/5,2.0
Clash,PTMSCDIMED1U_YR6_2024/5,2.0
Clash,PTMSCDSBIO1F_YR1_2024/5,2.0
Clash,PTMSCEAREL1F_YR1_2024/5,2.0
Clash,PTMSCEAREL1P_YR2_2024/5,2.0
